Time mean_pt_1myr_z_trans
199 -0.49310454
200 -0.49310454
201 -0.49310454
202 -0.49310454
203 0.124156959
204 0.035532909
205 -0.226130286
206 0.138178843
207 0.449575973
208 0.332897911
209 0.043541353
210 -0.000908633
211 0.21049016
212 0.470970477
213 0.710529943
214 1.660419472
215 1.352673027
216 -0.162980086
217 0.039566226
218 -0.40654802
219 -0.40654802
220 -0.40654802
221 -0.40654802
222 -0.852662267
223 -0.787460594
224 -0.787460594
225 -0.787460594
226 -0.722258922
227 0.276305066
228 0.360691636
229 0.445078206
230 0.982285861
231 1.519493516
232 1.568449877
233 0.490611469
234 0.523818406
235 0.265021985
236 0.355376943
237 0.430700515
238 0.519762364
239 0.744613257
240 1.528109483
241 2.273040717
242 0.840052639
243 2.066962121
244 1.955446393
245 0.814771646
246 1.00221091
247 1.195201061
248 1.835880105
249 1.909248818
250 2.153673365
251 2.068133158
252 0.709860338
253 -1.389242404
254 -0.825805019
255 -1.039392073
256 -0.558398319
257 -0.016673172
258 0.142463319
259 -0.004761794
260 -0.665395355
261 0.128070492
262 -1.54494948
263 -0.309254682
264 -1.039348528
265 -1.275559591
266 -1.719219626
267 -0.773952999
268 -1.040240823
269 0.021295446
270 -0.906076974
271 -1.215724316
272 -0.692644393
273 -0.418617222
274 -0.586807186
275 -0.920633753
276 -1.570935859
277 -1.347950261
278 -1.032389741
279 -0.716829221
280 -0.374016595
281 -0.573634826
282 -1.106217482
283 -1.638800139
284 -1.250355263
285 -0.861910387
286 -0.218306905
287 0.425296576
288 -0.571677217
289 -0.688902107
290 -0.806126998
291 -1.251270207
292 -0.552400397
293 -1.225558422
294 -1.438052283
295 0.252445046
296 -0.107576255
297 -0.595793182
298 -0.939830423
299 -0.192132233
300 0.135310856
301 0.135310856
302 0.135310856
303 0.135310856
304 0.135310856
